央视频道,#genre#
CCTV1,http://111.48.34.237/PLTV/88888888/224/3221229660/1.m3u8
CCTV1,http://111.48.34.237/PLTV/88888888/224/3221229665/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230054/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230440/1.m3u8
CCTV2,http://111.48.34.237/PLTV/88888888/224/3221229893/1.m3u8
CCTV3,http://111.48.34.237/PLTV/88888888/224/3221230394/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230150/1.m3u8
CCTV4,http://111.48.34.237/PLTV/88888888/224/3221229862/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230489/1.m3u8
CCTV5,http://111.48.34.237/PLTV/88888888/224/3221230400/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230165/1.m3u8
CCTV5+,http://111.48.34.237/PLTV/88888888/224/3221230455/1.m3u8
CCTV6,http://111.48.34.237/PLTV/88888888/224/3221230451/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230154/1.m3u8
CCTV7,http://111.48.34.237/PLTV/88888888/224/3221229895/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230442/1.m3u8
CCTV8,http://111.48.34.237/PLTV/88888888/224/3221230445/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230169/1.m3u8
CCTV9,http://111.48.34.237/PLTV/88888888/224/3221229864/1.m3u8
CCTV10,http://111.48.34.237/PLTV/88888888/224/3221229874/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230491/1.m3u8
CCTV11,http://111.48.34.237/PLTV/88888888/224/3221229869/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230444/1.m3u8
CCTV12,http://111.48.34.237/PLTV/88888888/224/3221230363/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221229897/1.m3u8
CCTV13,http://111.48.34.237/PLTV/88888888/224/3221230493/1.m3u8
CCTV14,http://111.48.34.237/PLTV/88888888/224/3221229868/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230446/1.m3u8
CCTV15,http://111.48.34.237/PLTV/88888888/224/3221229861/1.m3u8
CCTV15,http://111.48.34.237/PLTV/88888888/224/3221230495/1.m3u8
CCTV17,http://111.48.34.237/PLTV/88888888/224/3221229831/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230447/1.m3u8
CHC动作电影,http://111.48.34.237/PLTV/88888888/224/3221230434/1.m3u8
CCTV怀旧剧场,http://111.48.34.237/PLTV/88888888/224/3221230091/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230543/1.m3u8
CCTV风云音乐,http://111.48.34.237/PLTV/88888888/224/3221230089/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230541/1.m3u8
CHC家庭影院,http://111.48.34.237/PLTV/88888888/224/3221230481/1.m3u8
CHC高清电影,http://111.48.34.237/PLTV/88888888/224/3221230483/1.m3u8
CCTV第一剧场,http://111.48.34.237/PLTV/88888888/224/3221230488/1.m3u8


卫视频道,#genre#
东方卫视,http://111.48.34.237/PLTV/88888888/224/3221229686/1.m3u8
宁夏卫视,http://111.48.34.237/PLTV/88888888/224/3221229688/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230036/1.m3u8
海南卫视,http://111.48.34.237/PLTV/88888888/224/3221229694/1.m3u8
海南卫视,http://111.48.34.237/PLTV/88888888/224/3221229794/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230141/1.m3u8
浙江卫视,http://111.48.34.237/PLTV/88888888/224/3221229695/1.m3u8
安徽卫视,http://111.48.34.237/PLTV/88888888/224/3221229701/1.m3u8
内蒙古卫视,http://111.48.34.237/PLTV/88888888/224/3221229704/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230039/1.m3u8
山东卫视,http://111.48.34.237/PLTV/88888888/224/3221229705/1.m3u8
东南卫视,http://111.48.34.237/PLTV/88888888/224/3221229711/1.m3u8
深圳卫视,http://111.48.34.237/PLTV/88888888/224/3221229712/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230454/1.m3u8
环球奇观,http://111.48.34.237/PLTV/88888888/224/3221229716/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230392/1.m3u8
天津卫视,http://111.48.34.237/PLTV/88888888/224/3221229717/1.m3u8
山西卫视,http://111.48.34.237/PLTV/88888888/224/3221229721/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230038/1.m3u8
云南卫视,http://111.48.34.237/PLTV/88888888/224/3221229723/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230365/1.m3u8
西藏卫视,http://111.48.34.237/PLTV/88888888/224/3221229727/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230103/1.m3u8
新疆卫视,http://111.48.34.237/PLTV/88888888/224/3221229729/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230030/1.m3u8
青海卫视,http://111.48.34.237/PLTV/88888888/224/3221229731/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230101/1.m3u8
陕西卫视,http://111.48.34.237/PLTV/88888888/224/3221229735/1.m3u8
湖南卫视,http://111.48.34.237/PLTV/88888888/224/3221229739/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221229983/1.m3u8
北京卫视,http://111.48.34.237/PLTV/88888888/224/3221229741/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230501/1.m3u8
江苏卫视,http://111.48.34.237/PLTV/88888888/224/3221229743/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230497/1.m3u8
江西卫视,http://111.48.34.237/PLTV/88888888/224/3221229752/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230519/1.m3u8
重庆卫视,http://111.48.34.237/PLTV/88888888/224/3221229756/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230139/1.m3u8
贵州卫视,http://111.48.34.237/PLTV/88888888/224/3221229758/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230138/1.m3u8
安徽卫视,http://111.48.34.237/PLTV/88888888/224/3221229778/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230505/1.m3u8
天津卫视,http://111.48.34.237/PLTV/88888888/224/3221229786/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230458/1.m3u8
浙江卫视,http://111.48.34.237/PLTV/88888888/224/3221229788/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230460/1.m3u8
公共新闻,http://111.48.34.237/PLTV/88888888/224/3221229800/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230441/1.m3u8
东方卫视,http://111.48.34.237/PLTV/88888888/224/3221229808/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230448/1.m3u8
东南卫视,http://111.48.34.237/PLTV/88888888/224/3221229810/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230507/1.m3u8
湖北卫视,http://111.48.34.237/PLTV/88888888/224/3221229812/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230509/1.m3u8
黑龙江卫视,http://111.48.34.237/PLTV/88888888/224/3221229816/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230462/1.m3u8
辽宁卫视,http://111.48.34.237/PLTV/88888888/224/3221229825/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230464/1.m3u8
山东卫视,http://111.48.34.237/PLTV/88888888/224/3221229827/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230456/1.m3u8
河北卫视,http://111.48.34.237/PLTV/88888888/224/3221229840/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230143/1.m3u8
河南卫视,http://111.48.34.237/PLTV/88888888/224/3221229870/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230511/1.m3u8
四川卫视,http://111.48.34.237/PLTV/88888888/224/3221229901/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230140/1.m3u8
广西卫视,http://111.48.34.237/PLTV/88888888/224/3221230328/1.m3u8
吉林卫视,http://111.48.34.237/PLTV/88888888/224/3221230361/1.m3u8
三沙卫视,http://111.48.34.237/PLTV/88888888/224/3221230410/1.m3u8
厦门卫视,http://111.48.34.237/PLTV/88888888/224/3221230498/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230525/1.m3u8
甘肃卫视,http://111.48.34.237/PLTV/88888888/224/3221230502/1.m3u8#http://111.48.34.237/PLTV/88888888/224/3221230521/1.m3u8
广东卫视,http://111.48.34.237/PLTV/88888888/224/3221230503/1.m3u8
欢笑剧场4K-UHD,http://111.48.34.237/PLTV/88888888/224/3221230500/1.m3u8
