港澳频道,#genre#
大爱1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱2,http://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱,http://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8?$1280x720
大愛2台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8?$1280x720
新加坡·CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
新加坡中文,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
新加坡國際,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?$3M1280x720
新加坡亚太台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
大爱,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大爱1,https://pulltv2.wanfudaluye.com/live/tv1.m3u8
大爱2,http://pulltv2.wanfudaluye.com/live/tv2.m3u8
大愛2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8?$1280x720
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
J2,http://php.jdshipin.com:8880/smt.php?id=j2_twn
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
RTHK32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
梅州综合,http://php.jdshipin.com:8880/chudian.php?id=mzzh
Now爆谷台,http://111.160.76.101:80/香蕉哥/now爆谷.live.flv
凤凰资讯,http://117.27.190.42:9998/tsfile/live/23279_1.m3u8?
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8?
凤凰资讯频道,http://146.56.153.245:20121/bysid/257
凤凰中文频道,http://146.56.153.245:20121/bysid/258
香港凤凰频道,http://146.56.153.245:20121/bysid/259
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
HakkaTV,http://37.27.111.214:8080/live/1/hls.m3u8
亚洲旅游台,http://37.27.111.214:8080/live/10/hls.m3u8
人间卫视,http://37.27.111.214:8080/live/101/hls.m3u8
CNBC,http://37.27.111.214:8080/live/102/hls.m3u8
动漫,http://37.27.111.214:8080/live/105/hls.m3u8
动漫2,http://37.27.111.214:8080/live/106/hls.m3u8
哆啦A梦,http://37.27.111.214:8080/live/107/hls.m3u8
影视,http://37.27.111.214:8080/live/108/hls.m3u8
影视2,http://37.27.111.214:8080/live/109/hls.m3u8
探案台,http://37.27.111.214:8080/live/11/hls.m3u8
超人,http://37.27.111.214:8080/live/110/hls.m3u8
影视3,http://37.27.111.214:8080/live/111/hls.m3u8
Nickelodeon,http://37.27.111.214:8080/live/12/hls.m3u8
博斯高球1,http://37.27.111.214:8080/live/13/hls.m3u8
博斯运动1,http://37.27.111.214:8080/live/14/hls.m3u8
博斯无限,http://37.27.111.214:8080/live/15/hls.m3u8
博斯网球,http://37.27.111.214:8080/live/16/hls.m3u8
靖洋戏剧台,http://37.27.111.214:8080/live/17/hls.m3u8
靖天电影台,http://37.27.111.214:8080/live/18/hls.m3u8
龙华电影台,http://37.27.111.214:8080/live/19/hls.m3u8
TiTV,http://37.27.111.214:8080/live/2/hls.m3u8
东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8
八大综合,http://37.27.111.214:8080/live/21/hls.m3u8
nickjr,http://37.27.111.214:8080/live/22/hls.m3u8
TVBS,http://37.27.111.214:8080/live/23/hls.m3u8
TVBS歡樂台,http://37.27.111.214:8080/live/24/hls.m3u8
MTV,http://37.27.111.214:8080/live/25/hls.m3u8
幸福空间,http://37.27.111.214:8080/live/26/hls.m3u8
HISTORY,http://37.27.111.214:8080/live/27/hls.m3u8
HITS,http://37.27.111.214:8080/live/28/hls.m3u8
momo,http://37.27.111.214:8080/live/3/hls.m3u8
CinemaWorld,http://37.27.111.214:8080/live/30/hls.m3u8
三立综合,http://37.27.111.214:8080/live/31/hls.m3u8
BLOOMBERG,http://37.27.111.214:8080/live/34/hls.m3u8
猪哥亮,http://37.27.111.214:8080/live/35/hls.m3u8
民视第一,http://37.27.111.214:8080/live/4/hls.m3u8
龙华戏剧,http://37.27.111.214:8080/live/41/hls.m3u8
龙华日韩,http://37.27.111.214:8080/live/42/hls.m3u8
VOA,http://37.27.111.214:8080/live/45/hls.m3u8
中视经典,http://37.27.111.214:8080/live/47/hls.m3u8
中视青采,http://37.27.111.214:8080/live/48/hls.m3u8
民视台湾台,http://37.27.111.214:8080/live/5/hls.m3u8
新唐人,http://37.27.111.214:8080/live/51/hls.m3u8
KOREA,http://37.27.111.214:8080/live/52/hls.m3u8
互动英语,http://37.27.111.214:8080/live/54/hls.m3u8
ELTV生活英语台,http://37.27.111.214:8080/live/56/hls.m3u8
动画台,http://37.27.111.214:8080/live/57/hls.m3u8
民视,http://37.27.111.214:8080/live/6/hls.m3u8
东森购物,http://37.27.111.214:8080/live/61/hls.m3u8
镜新闻,http://37.27.111.214:8080/live/62/hls.m3u8
寰宇台湾,http://37.27.111.214:8080/live/63/hls.m3u8
全球财经,http://37.27.111.214:8080/live/64/hls.m3u8
寰宇财经,http://37.27.111.214:8080/live/65/hls.m3u8
东森购物,http://37.27.111.214:8080/live/66/hls.m3u8
