港澳频道,#genre#
Now爆谷台,http://111.160.76.101:80/香蕉哥/now爆谷.live.flv
凤凰中文,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226308/index.m3u8
凤凰中文,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226317/index.m3u8
凤凰资讯,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226320/index.m3u8
凤凰资讯,http://116.162.6.192/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226320/index.m3u8
凤凰资讯,http://117.27.190.42:9998/tsfile/live/23279_1.m3u8
凤凰资讯,http://117.27.190.42:9998/tsfile/live/23279_1.m3u8?
凤凰资讯,http://117.27.190.42:9998/tsfile/live/23279_1.m3u8?key=txiptv
凤凰资讯,http://117.27.190.42:9998/tsfile/live/23279_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8?
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8?key=txiptv
凤凰中文,http://117.27.190.42:9998/tsfile/live/23280_1.m3u8?key=txiptv&playlive=1&authid=0
NOW爆谷2,http://120.211.93.113:8089/NOW爆谷/香蕉哥专用-易发TV.live.flv
TVB翡翠2,http://120.211.93.113:8089/tvb翡翠2/香蕉哥专用-易发TV.live.flv
NOW爆谷,http://123.150.5.131:9000/NOW爆谷/香蕉哥专用-易发TV.live.ts
TVB翡翠,http://123.150.5.131:9000/tvb翡翠/香蕉哥专用-易发TV.live.ts
中华小当家,http://159.75.85.63:35455/huya/24257300?cdn=hwcdn
XF凤凰资讯,http://171.110.10.10:8181/tsfile/live/1082_1.m3u8
XF凤凰中文,http://171.110.10.10:8181/tsfile/live/1083_1.m3u8
XF凤凰中文,http://180.137.22.122:8181/tsfile/live/1083_1.m3u8
XF凤凰资讯,http://180.142.220.34:8181/tsfile/live/1082_1.m3u8
XF凤凰香港,http://180.142.220.34:8181/tsfile/live/1084_1.m3u8
XF凤凰香港,http://180.142.220.34:8181/tsfile/live/1084_1.m3u8?key=txiptv&playlive=1&authid=0
XF凤凰中文,http://180.142.220.36:8181/tsfile/live/1083_1.m3u8
TVBS新闻,http://194.87.101.118/live.m3u8?c=5
明珠台,http://1b6467f415.iok.la:9931/tsfile/live/1009_1.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
XF凤凰资讯,http://222.217.246.118:8181/tsfile/live/1082_1.m3u8
XF凤凰香港,http://222.217.246.118:8181/tsfile/live/1084_1.m3u8
XF凤凰中文,http://222.83.135.190:8181/tsfile/live/1083_1.m3u8
XF凤凰香港,http://222.83.135.190:8181/tsfile/live/1084_1.m3u8
哆啦A梦,http://37.27.111.214:8080/live/107/hls.m3u8
HITS,http://37.27.111.214:8080/live/28/hls.m3u8
momo,http://37.27.111.214:8080/live/3/hls.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
东森,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/ott.mobaibox.com/PLTV/3/224/3221228524/1.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/3/224/3221228527/1.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb23]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb23]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1674369674&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
纬来体育,http://ali.hlspull.yximgs.com/live/7qvlzZeiRYNkx1Dwn6mLv3PM8GERr19J.flv
台视新闻,http://ali.hlspull.yximgs.com/live/TTaishi88822378889gdkagdakdbsavfcjdsfjs.flv
台视,http://ali.hlspull.yximgs.com/live/TTaishil00eqoierq3erfufhksjflslflkdgs-409958-88hb-99fb-52540Odfb345liLecbncdncnpj9p9pclcglivccctv1HDopdefaultfindetoken84d856707a0bf3ccfhalkfhsfhlsfgsdlgjldsgldglshlgsfghl.flv
TVBS新闻,http://ali.hlspull.yximgs.com/live/TTbbbsxwt885231889eqoierq3erfufhksjflslflkdgs-409958-88hb-99fb-52540Odfb345liLecbncdncnpj9p9pclcglivccctv1HDopdefaultfindetoken84d856707a0bf3ccfhalkfhsfhlsfgsdlgjldsgldglshlgsfghl.flv
天映,http://ali.hlspull.yximgs.com/live/TTianyingpd00eqoierq3erfufhksjflslflkdgs-409958-88hb-99fb-52540Odfb345liLecbncdncnpj9p9pclcglivccctv1HDopdefaultfindetoken84d856707a0bf3ccfhalkfhsfhlsfgsdlgjldsgldglshlgsfghl.flv
台视综合,http://ali.hlspull.yximgs.com/live/TTtvzhonghel00eqoierq3erfufhksjflslflkdgs-409958-88hb-99fb-52540Odfb345liLecbncdncnpj9p9pclcglivccctv1HDopdefaultfindetoken84d856707a0bf3ccfhalkfhsfhlsfgsdlgjldsgldglshlgsfghl.flv
TVB无线财经资讯,http://ali.hlspull.yximgs.com/live/TTvbGDKDa55221400eqoierq3erfufhksjflslflkdgs-409958-88hb-99fb-52540Odfb345liLecbncdncnpj9p9pclcglivccctv1HDopdefaultfindetoken84d856707a0bf3ccfhalkfhsfhlsfgsdlgjldsgldglshlgsfghl.flv
TVB华语剧,http://ali.hlspull.yximgs.com/live/TTvbhuayujl00eqoierq3erfufhksjflslflkdgs-409958-88hb-99fb-52540Odfb345liLecbncdncnpj9p9pclcglivccctv1HDopdefaultfindetoken84d856707a0bf3ccfhalkfhsfhlsfgsdlgjldsgldglshlgsfghl.flv
TVBplus,http://ali.hlspull.yximgs.com/live/TTvbjjjj2l00eqoierq3erfufhksjflslflkdgs-409958-88hb-99fb-52540Odfb345liLecbncdncnpj9p9pclcglivccctv1HDopdefaultfindetoken84d856707a0bf3ccfhalkfhsfhlsfgsdlgjldsgldglshlgsfghl.flv
