数字频道/固定源,#genre#
重温经典[1920*1080],http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典[1920*1080],http://123.6.102.32:11789/850.php?id=cwjdhd.m3u8
爱情喜剧[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225533/index.m3u8
爱情喜剧[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225533/index.m3u8
超级电视剧[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225637/index.m3u8
超级电影[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225644/index.m3u8
超级电影[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225644/index.m3u8
超级体育[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225635/index.m3u8
超级综艺[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225642/index.m3u8
超级综艺[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225642/index.m3u8
潮妈辣婆[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225542/index.m3u8
潮妈辣婆[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225542/index.m3u8
东北热剧[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225679/index.m3u8
动作电影[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225555/index.m3u8
动作电影[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225555/index.m3u8
古装剧场[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225524/index.m3u8
古装剧场[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225524/index.m3u8
海外剧场[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225715/index.m3u8
黑莓电影[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225681/index.m3u8
黑莓动画[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225529/index.m3u8
欢乐剧场[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225682/index.m3u8
欢乐剧场[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225682/index.m3u8
家庭剧场[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225538/index.m3u8
军旅剧场[1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225560/index.m3u8
军旅剧场[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225560/index.m3u8
明星大片[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225550/index.m3u8
