数字频道,#genre#
中国功夫,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
军事评论,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
农业致富,http://39.134.67.226/PLTV/88888888/224/3221225552/index.m3u8
古装剧场,http://39.134.67.226/PLTV/88888888/224/3221225524/index.m3u8
古装剧场,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
哒啵赛事,http://39.134.67.226/PLTV/88888888/224/3221225559/index.m3u8
哒啵赛事,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8
好像海外剧场,http://39.134.67.226/PLTV/88888888/224/3221225730/index.m3u8
好像海外剧场,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
家庭剧场,http://39.134.67.226/PLTV/88888888/224/3221225538/index.m3u8
怡伴健康,http://39.134.67.226/PLTV/88888888/224/3221225571/index.m3u8
惊悚悬疑,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
无名电影,http://39.134.67.226/PLTV/88888888/224/3221225550/index.m3u8
欢乐剧场,http://39.134.67.226/PLTV/88888888/224/3221225682/index.m3u8
潮妈辣婆,http://39.134.67.226/PLTV/88888888/224/3221225542/index.m3u8
潮妈辣婆,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
炫舞未来,http://39.134.67.226/PLTV/88888888/224/3221225646/index.m3u8
精品体育,http://39.134.67.226/PLTV/88888888/224/3221225526/index.m3u8
精品纪录,http://39.134.67.226/PLTV/88888888/224/3221225545/index.m3u8
纪实人文,http://39.134.67.226/PLTV/88888888/224/3221225673/index.m3u8
超级体育,http://39.134.67.226/PLTV/88888888/224/3221225635/index.m3u8
超级体育,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
超级电影,http://39.134.67.226/PLTV/88888888/224/3221225644/index.m3u8
超级电影,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超级电视剧,http://39.134.67.226/PLTV/88888888/224/3221225637/index.m3u8
超级电视剧,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
超级综艺,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
金牌综艺,http://39.134.67.226/PLTV/88888888/224/3221225525/index.m3u8
黑莓动画,http://39.134.67.226/PLTV/88888888/224/3221225529/index.m3u8
黑莓动画,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
黑莓电影,http://39.134.67.226/PLTV/88888888/224/3221225681/index.m3u8
黑莓电影,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
求索纪录,http://39.134.67.226/PLTV/88888888/224/3221225713/index.m3u8
央视频道,#genre#
CCTV1,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.67.226/PLTV/88888888/224/3221226119/index.m3u8
CCTV3,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://39.134.67.226/PLTV/88888888/224/3221226092/index.m3u8
CCTV4[1280*720],http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV5+,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
﻿CCTV5+,http://39.134.67.226/PLTV/88888888/224/3221225507/index.m3u8
CCTV5,http://39.134.67.226/PLTV/88888888/224/3221225737/index.m3u8
CCTV5,http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8
CCTV5,http://39.134.67.226/PLTV/88888888/224/3221226027/index.m3u8
CCTV5,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226469/index.m3u8
CCTV6,http://39.134.67.226/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://39.134.67.226/PLTV/88888888/224/3221225677/index.m3u8
CCTV10,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11[1080*720],http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://39.134.67.226/PLTV/88888888/224/3221225669/index.m3u8
CCTV12,http://39.134.67.226/PLTV/88888888/224/3221226130/index.m3u8
CCTV12,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://39.134.67.226/PLTV/88888888/224/3221226077/index.m3u8
CCTV13,http://39.134.67.226/PLTV/88888888/224/3221226125/index.m3u8
CCTV13[1280*720],http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://39.134.67.226/PLTV/88888888/224/3221225674/index.m3u8
CCTV14,http://39.134.67.226/PLTV/88888888/224/3221226132/index.m3u8
CCTV15,http://39.134.67.226/PLTV/88888888/224/3221226127/index.m3u8
CCTV15[1280*720],http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://39.134.67.226/PLTV/88888888/224/3221225893/index.m3u8
CCTV17,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV4K 超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV4K 超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
苏州4K[3840*2160],http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
卫视频道,#genre#
东南卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东方卫视,http://39.134.67.226/PLTV/88888888/224/3221225672/index.m3u8
东方卫视,http://39.134.67.226/PLTV/88888888/224/3221225942/index.m3u8
东方卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
北京卫视,http://39.134.67.226/PLTV/88888888/224/3221225678/index.m3u8
北京卫视,http://39.134.67.226/PLTV/88888888/224/3221225931/index.m3u8
吉林卫视,http://39.134.67.226/PLTV/88888888/224/3221225981/index.m3u8
天津卫视,http://39.134.67.226/PLTV/88888888/224/3221225665/index.m3u8
天津卫视,http://39.134.67.226/PLTV/88888888/224/3221225972/index.m3u8
天津卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
安徽卫视,http://39.134.67.226/PLTV/88888888/224/3221225925/index.m3u8
山东卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
广东卫视,http://39.134.67.226/PLTV/88888888/224/3221225966/index.m3u8
广东卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
江苏卫视,http://39.134.67.226/PLTV/88888888/224/3221225938/index.m3u8
江苏卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江苏卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江西卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视,http://39.134.67.226/PLTV/88888888/224/3221225961/index.m3u8
河南卫视,http://39.134.67.226/PLTV/88888888/224/3221225988/index.m3u8
河南卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
浙江卫视,http://39.134.67.226/PLTV/88888888/224/3221225514/index.m3u8
浙江卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
海南卫视,http://39.134.67.226/PLTV/88888888/224/3221225978/index.m3u8
海南卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
深圳卫视,http://39.134.67.226/PLTV/88888888/224/3221225668/index.m3u8
深圳卫视,http://39.134.67.226/PLTV/88888888/224/3221225943/index.m3u8
深圳卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
湖北卫视,http://39.134.67.226/PLTV/88888888/224/3221225975/index.m3u8
湖南卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖南卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
贵州卫视,http://39.134.67.226/PLTV/88888888/224/3221225974/index.m3u8
辽宁卫视,http://39.134.67.226/PLTV/88888888/224/3221226089/index.m3u8
辽宁卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
重庆卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
黑龙江卫视,http://39.134.67.226/PLTV/88888888/224/3221225973/index.m3u8
黑龙江卫视,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江少儿,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
