港澳频道,#genre#
凤凰中文台,http://110.185.171.226:96/yximgs.php?id=182
凤凰资讯台,http://110.185.171.226:96/yximgs.php?id=183
凤凰香港台,http://110.185.171.226:96/yximgs.php?id=184
TVB娱乐新闻,http://110.185.171.226:96/yximgs.php?id=10
TVB黄金翡翠,http://110.185.171.226:96/yximgs.php?id=11
TVB千禧经典,http://110.185.171.226:96/yximgs.php?id=198
无线新闻台,http://110.185.171.226:96/yximgs.php?id=13
无线财经台,http://110.185.171.226:96/yximgs.php?id=14
国际财经台,http://110.185.171.226:96/yximgs.php?id=16
澳门莲花台,http://110.185.171.226:96/yximgs.php?id=17
三立综合台,http://110.185.171.226:96/yximgs.php?id=46
三立台湾台,http://110.185.171.226:96/yximgs.php?id=44
三立戏剧台,http://110.185.171.226:96/yximgs.php?id=47
三立都会台,http://110.185.171.226:96/yximgs.php?id=26
八大第一台,http://110.185.171.226:96/yximgs.php?id=40
八大综合台,http://110.185.171.226:96/yximgs.php?id=41
八大戏剧台,http://110.185.171.226:96/yximgs.php?id=42
八大精彩台,http://110.185.171.226:96/yximgs.php?id=43
中天娱乐台,http://110.185.171.226:96/yximgs.php?id=32
中天综合台,http://110.185.171.226:96/yximgs.php?id=33
民视第一台,http://110.185.171.226:96/yximgs.php?id=45
民视台湾台,http://110.185.171.226:96/yximgs.php?id=37
东森综合台,http://110.185.171.226:96/yximgs.php?id=48
东森超视台,http://110.185.171.226:96/yximgs.php?id=49
龙华偶像台,http://110.185.171.226:96/yximgs.php?id=52
纬来体育台,http://110.185.171.226:96/yximgs.php?id=58
纬来日本台,http://110.185.171.226:96/yximgs.php?id=54
靖天国际台,http://110.185.171.226:96/yximgs.php?id=53
靖天卡通台,http://110.185.171.226:96/yximgs.php?id=55
爱尔达影剧,http://110.185.171.226:96/yximgs.php?id=57
中天新闻台,http://110.185.171.226:96/yximgs.php?id=141
中视新闻台,http://110.185.171.226:96/yximgs.php?id=143
民视新闻台,http://110.185.171.226:96/yximgs.php?id=144
东森新闻台,http://110.185.171.226:96/yximgs.php?id=145
东森财经台,http://110.185.171.226:96/yximgs.php?id=146
环宇新闻台,http://110.185.171.226:96/yximgs.php?id=147
台视新闻台,http://110.185.171.226:96/yximgs.php?id=148
壹新闻电视,http://110.185.171.226:96/yximgs.php?id=149
亚洲国际台,http://110.185.171.226:96/yximgs.php?id=150
镜视新闻台,http://110.185.171.226:96/yximgs.php?id=152
华视新闻台,http://110.185.171.226:96/yximgs.php?id=153
非凡新闻台,http://110.185.171.226:96/yximgs.php?id=154
年代新闻台,http://110.185.171.226:96/yximgs.php?id=155
环宇台湾台,http://110.185.171.226:96/yximgs.php?id=158
纬来电影台,http://110.185.171.226:96/yximgs.php?id=103
东森电影台,http://110.185.171.226:96/yximgs.php?id=104
东森洋片台,http://110.185.171.226:96/yximgs.php?id=105
东森戏剧台,http://110.185.171.226:96/yximgs.php?id=106
好莱坞电影,http://110.185.171.226:96/yximgs.php?id=100
龙华洋片台,http://110.185.171.226:96/yximgs.php?id=107
龙祥电影台,http://110.185.171.226:96/yximgs.php?id=108
卫视中文台,http://110.185.171.226:96/yximgs.php?id=109
星卫电影台,http://110.185.171.226:96/yximgs.php?id=112
美亚电影台,http://110.185.171.226:96/yximgs.php?id=113
卫视电影台,http://110.185.171.226:96/yximgs.php?id=114
astro 小太阳,http://110.185.171.226:96/yximgs.php?id=177
astro 华丽台,http://110.185.171.226:96/yximgs.php?id=178
astro 爱奇艺,http://110.185.171.226:96/yximgs.php?id=180
亚洲旅游台,http://110.185.171.226:96/yximgs.php?id=131
中天新闻 2,http://110.185.171.226:96/yximgs.php?id=142
TVBS欢乐台,http://110.185.171.226:96/yximgs.php?id=31
TVBS新闻台,http://110.185.171.226:96/yximgs.php?id=139
三立LIVE台,http://110.185.171.226:96/yximgs.php?id=151
LIVE新闻台,http://110.185.171.226:96/yximgs.php?id=164
ELEVEN体育1,http://110.185.171.226:96/yximgs.php?id=59
ELEVEN体育2,http://110.185.171.226:96/yximgs.php?id=60
博斯运动2,http://110.185.171.226:96/yximgs.php?id=62
博斯高球1,http://110.185.171.226:96/yximgs.php?id=63
博斯高球2,http://110.185.171.226:96/yximgs.php?id=64
博斯无限2,http://110.185.171.226:96/yximgs.php?id=89
TVB翡翠台,http://110.185.171.226:96/yximgs.php?id=2
TVB明珠台,http://110.185.171.226:96/yximgs.php?id=3
TVB星河台,http://110.185.171.226:96/yximgs.php?id=4
TVB粤语片,http://110.185.171.226:96/yximgs.php?id=6
TVB经典剧,http://110.185.171.226:96/yximgs.php?id=7
TVB亚洲剧,http://110.185.171.226:96/yximgs.php?id=8
TVB华剧台,http://110.185.171.226:96/yximgs.php?id=24
港版美亚电影,http://110.185.171.226:96/yximgs.php?id=9
TVB功夫台,http://110.185.171.226:96/yximgs.php?id=12
Now爆谷台,http://110.185.171.226:96/yximgs.php?id=187
Now星影台,http://110.185.171.226:96/yximgs.php?id=186
HOY资讯台,http://110.185.171.226:96/yximgs.php?id=15
18 跑马台,http://110.185.171.226:96/yximgs.php?id=18
Now新闻台,http://110.185.171.226:96/yximgs.php?id=21
Now财经台,http://110.185.171.226:96/yximgs.php?id=23
Now英超台,http://110.185.171.226:96/yximgs.php?id=22
Now体育台,http://110.185.171.226:96/yximgs.php?id=195
SKY体育台,http://110.185.171.226:96/yximgs.php?id=196
CBS新闻台,http://110.185.171.226:96/yximgs.php?id=156
ABC新闻台,http://110.185.171.226:96/yximgs.php?id=157
SBC新闻台,http://110.185.171.226:96/yximgs.php?id=159
CNN新闻台,http://110.185.171.226:96/yximgs.php?id=161
BBC新闻台,http://110.185.171.226:96/yximgs.php?id=163
天映频道,http://110.185.171.226:96/yximgs.php?id=110
天映经典,http://110.185.171.226:96/yximgs.php?id=111
HBO lgnature,http://110.185.171.226:96/yximgs.php?id=97
华纳电影,http://110.185.171.226:96/yximgs.php?id=119
astro 全佳,http://110.185.171.226:96/yximgs.php?id=176
ELTA体育 1,http://110.185.171.226:96/yximgs.php?id=188
ELTA体育 2,http://110.185.171.226:96/yximgs.php?id=189
ELTA体育 3,http://110.185.171.226:96/yximgs.php?id=190
博斯网球,http://110.185.171.226:96/yximgs.php?id=65
港台RHK31,http://110.185.171.226:96/yximgs.php?id=29
港台RHK32,http://110.185.171.226:96/yximgs.php?id=30
CN卡通台,http://110.185.171.226:96/yximgs.php?id=185
Sony Pix HD,http://110.185.171.226:96/yximgs.php?id=115
astro ARENA,http://110.185.171.226:96/yximgs.php?id=83
Now Golf 2,http://110.185.171.226:96/yximgs.php?id=28
NowSPORTS7,http://110.185.171.226:96/yximgs.php?id=197
东森YOYO,http://110.185.171.226:96/yximgs.php?id=191
CNBC新闻,http://110.185.171.226:96/yximgs.php?id=162
CGTN新闻,http://110.185.171.226:96/yximgs.php?id=165
HBO famlly,http://110.185.171.226:96/yximgs.php?id=99
Hits Movie,http://110.185.171.226:96/yximgs.php?id=122
astro MUtv,http://110.185.171.226:96/yximgs.php?id=192
公视3HD,http://110.185.171.226:96/yximgs.php?id=199
tvN Movie,http://110.185.171.226:96/yximgs.php?id=123
astro AEC,http://110.185.171.226:96/yximgs.php?id=175
astro AOD,http://110.185.171.226:96/yximgs.php?id=179
Hands UP,http://110.185.171.226:96/yximgs.php?id=25
民视HD,http://110.185.171.226:96/yximgs.php?id=36
中视HD,http://110.185.171.226:96/yximgs.php?id=35
华视HD,http://110.185.171.226:96/yximgs.php?id=38
公视HD,http://110.185.171.226:96/yximgs.php?id=39
HBO HiTS,http://110.185.171.226:96/yximgs.php?id=98
TVBS HD,http://110.185.171.226:96/yximgs.php?id=140
CINEMAX,http://110.185.171.226:96/yximgs.php?id=101
TVB J2,http://110.185.171.226:96/yximgs.php?id=5
HOY TV,http://110.185.171.226:96/yximgs.php?id=1
ViU TV,http://110.185.171.226:96/yximgs.php?id=193
VIU TV,http://110.185.171.226:96/yximgs.php?id=19
VIU6TV,http://110.185.171.226:96/yximgs.php?id=20
HBO HD,http://110.185.171.226:96/yximgs.php?id=96
Thrill,http://110.185.171.226:96/yximgs.php?id=121
