央视IPV4,#genre#
CCTV-1 综合,http://1.83.126.117:4022/rtp/239.112.205.59:5140
CCTV-1 综合,http://1.83.163.75:8888/rtp/239.112.205.59:5140
CCTV-1 综合,http://110.7.128.173:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://110.7.128.176:8096/tsfile/live/0001_1.m3u8
CCTV-1 综合,http://110.7.128.176:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://110.7.128.194:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://110.7.128.212:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://110.7.130.123:8096/tsfile/live/0001_1.m3u8
CCTV-1 综合,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://112.114.137.121:888/hls/1/index.m3u8
CCTV-1 综合,http://113.15.187.233:8181/tsfile/live/0001_1.m3u8
CCTV-1 综合,http://113.86.205.109:808/hls/1/index.m3u8
CCTV-1 综合,http://113.93.48.245:2000/udp/239.77.0.129:5146
CCTV-1 综合,http://113.93.48.245:2000/udp/239.77.0.86:5146
CCTV-1 综合,http://113.93.48.245:2000/udp/239.77.1.144:5146
CCTV-1 综合,http://113.93.48.245:2000/udp/239.77.1.17:5146
CCTV-1 综合,http://116.135.44.69:1099/home/storager/ca336e18-d67e-4890-84ba-f3a376933b4a/live/0001_1.m3u8
CCTV-1 综合,http://117.9.130.7:50000/udp/225.1.1.120:5002
CCTV-1 综合,http://118.250.108.154:8888/udp/239.76.246.151:1234
CCTV-1 综合,http://118.250.108.154:8888/udp/239.76.253.151:9000
CCTV-1 综合,http://118.79.113.176:6000/rtp/226.0.2.153:9136
CCTV-1 综合,http://118.79.113.176:6000/rtp/226.0.2.16:8040
CCTV-1 综合,http://118.79.113.176:6001/rtp/226.0.2.153:9136
CCTV-1 综合,http://118.79.113.176:6001/rtp/226.0.2.16:8040
CCTV-1 综合,http://119.166.177.210:8888/udp/239.253.254.77:8000
CCTV-1 综合,http://123.11.144.129:22222/hls/1/index.m3u8
CCTV-1 综合,http://124.115.205.101:8888/newlive/live/hls/2/live.m3u8
CCTV-1 综合,http://221.15.5.209:8888/rtp/225.1.4.73:1102
CCTV-1 综合,http://221.234.140.70:8880/rtp/239.254.96.96:8550
CCTV-1 综合,http://27.10.208.156:8002/udp/225.0.4.74:7980
CCTV-1 综合,http://27.10.208.156:8005/udp/225.0.4.74:7980
CCTV-1 综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1 综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-1 综合,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1 综合,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1 综合,http://58.45.108.203:6666/udp/239.76.246.151:1234
CCTV-1 综合,http://60.223.72.32:8005/rtp/226.0.2.16:8040
CCTV-1 综合,http://61.136.67.238:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://61.138.128.226:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://addmin.x3322.net:8888/hls/1/index.m3u8
CCTV-1 综合,http://hbyxmlg.picp.io:8088/tsfile/live/0001_1.m3u8
CCTV-1 综合[1280*720],http://stream.smntv.cn/smtv1/sd/live.m3u8
CCTV-2 财经,http://1.83.126.117:4022/rtp/239.112.205.78:5140
CCTV-2 财经,http://1.83.163.75:8888/rtp/239.112.205.78:5140
CCTV-2 财经,http://111.9.163.109:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,http://112.114.137.121:888/hls/2/index.m3u8
CCTV-2 财经,http://113.15.187.233:8181/tsfile/live/0002_1.m3u8
CCTV-2 财经,http://113.86.205.109:808/hls/2/index.m3u8
CCTV-2 财经,http://113.93.48.245:2000/udp/239.77.0.137:5146
CCTV-2 财经,http://113.93.48.245:2000/udp/239.77.1.158:5146
CCTV-2 财经,http://116.135.44.69:1099/tsfile/live/0002_1.m3u8
CCTV-2 财经,http://117.9.130.7:50000/udp/225.1.1.133:5002
CCTV-2 财经,http://118.250.108.154:8888/udp/239.76.246.152:1234
CCTV-2 财经,http://118.250.108.154:8888/udp/239.76.253.152:9000
CCTV-2 财经,http://118.79.113.176:6000/rtp/226.0.2.154:9144
CCTV-2 财经,http://118.79.113.176:6001/rtp/226.0.2.154:9144
CCTV-2 财经,http://119.166.177.210:8888/udp/239.253.254.232:8000
CCTV-2 财经,http://123.11.144.129:22222/hls/2/index.m3u8
CCTV-2 财经,http://221.15.5.209:8888/rtp/225.1.4.74:1103
CCTV-2 财经,http://221.234.140.70:8880/rtp/239.69.1.102:10250
CCTV-2 财经,http://27.10.208.156:8003/udp/225.0.4.132:7980
CCTV-2 财经,http://27.10.208.156:8004/udp/225.0.4.132:7980
CCTV-2 财经,http://27.10.208.156:8005/udp/225.0.4.132:7980
CCTV-2 财经,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-2 财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
