喜好频道,#genre#
CCTV1,http://60.208.113.114:8001/newlive/live/hls/11/live.m3u8
CCTV1,http://60.208.113.114:8001/newlive/live/hls/12/live.m3u8
CCTV1,http://58.248.84.148:8888/newlive/live/hls/15/live.m3u8
CCTV3,http://gmxw.7766.org:808/hls/91/index.m3u8
CCTV3,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
CCTV3,http://api2.52tb.xyz/info?id=4&token=20230326xflvzc
CCTV15,http://113.57.109.36:9901/tsfile/live/0015_1.m3u8
CCTV15,https://live.goodiptv.club/api/bestv.php?id=cctv15hd8m/8000000
CCTV15,http://gmxw.7766.org:808/hls/102/index.m3u8
珠江,http://ci.emdoor.tech:8080/touchtv.php?pk=2513
珠江,http://171.109.225.180:8181/tsfile/live/1003_1.m3u8
珠江,http://110.72.86.104:808/hls/24/index.m3u8
湖南卫视,https://epg.pw/stream/ca45d063221fb35e29d63352e2db10f8ca2ef9b3852fca0f6a2e16699db3c0c5.m3u8
湖南卫视,http://58.19.38.233:8888/newlive/live/hls/23/live.m3u8
湖南卫视,http://60.208.113.114:8001/newlive/live/hls/18/live.m3u8
湖北卫视,http://60.208.113.114:8001/newlive/live/hls/29/live.m3u8
湖北卫视,http://api2.52tb.xyz/info?id=34&token=20230326xflvzc
湖北卫视,https://live.goodiptv.club/api/bestv.php?id=hubeiws8m/8000000
凤凰卫视,http://110.72.87.140:808/hls/62/index.m3u8
凤凰卫视,http://221.7.175.154:8445/tsfile/live/1020_1.m3u8
凤凰卫视,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV43.m3u8
广州影视,https://justsometime.gztv.com/sec/yingshi.m3u8
佛山影视,http://www.namewee.xyz/gudou.php?id=foshanyingshiHD_4500

央视频道,#genre#
CCTV1,http://60.208.113.114:8001/newlive/live/hls/11/live.m3u8
CCTV1,http://60.208.113.114:8001/newlive/live/hls/12/live.m3u8
CCTV1,http://58.248.84.148:8888/newlive/live/hls/15/live.m3u8
CCTV2,http://60.208.113.114:8001/newlive/live/hls/2/live.m3u8
CCTV2,http://218.98.31.233/liveali-tpgq.cctv.cn/live/cctv2.m3u8
CCTV2,http://125.210.152.19:9123/live/hzgq-cctv2gq-h264.m3u8
CCTV3,http://gmxw.7766.org:808/hls/91/index.m3u8
CCTV3,http://218.13.170.98:9901/tsfile/live/0003_1.m3u8
CCTV3,http://api2.52tb.xyz/info?id=4&token=20230326xflvzc
CCTV4,http://182.201.241.62/liveali-tpgq.cctv.cn/live/cctv4.m3u8
CCTV4,http://58.248.84.148:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://222.188.68.38:8888/newlive/live/hls/5/live.m3u8
CCTV5,http://60.208.113.114:8001/newlive/live/hls/6/live.m3u8
CCTV5,http://60.208.113.114:8001/newlive/live/hls/5/live.m3u8
CCTV5,http://182.201.241.62/liveali-tpgq.cctv.cn/live/cctv5.m3u8
CCTV5+,http://218.17.205.210:9901/tsfile/live/0126_1.m3u8
CCTV5+,http://59.55.35.92:20000/hls/2/index.m3u8
CCTV5+,http://27.185.2.92:9901/hls/101/index.m3u8
CCTV6,http://60.208.113.114:8001/newlive/live/hls/7/live.m3u8
CCTV6,http://125.210.152.19:9123/live/hzgq-cctv6gq-h264.m3u8
CCTV6,http://222.188.68.38:8888/newlive/live/hls/7/live.m3u8
CCTV7,http://113.57.109.36:9901/tsfile/live/0007_1.m3u8
CCTV7,http://60.208.113.114:8001/newlive/live/hls/8/live.m3u8
CCTV7,http://218.13.170.98:9901/tsfile/live/0007_1.m3u8
CCTV8,http://60.208.113.114:8001/newlive/live/hls/9/live.m3u8
CCTV8,http://113.57.109.36:9901/tsfile/live/0008_1.m3u8
CCTV8,http://183.134.3.22:8888/newlive/live/hls/9/live.m3u8
CCTV9,http://183.134.3.22:8888/newlive/live/hls/10/live.m3u8
CCTV9,http://113.57.109.36:9901/tsfile/live/0009_1.m3u8
CCTV9,http://58.19.38.233:8888/newlive/live/hls/11/live.m3u8
CCTV10,http://113.57.109.36:9901/tsfile/live/0010_1.m3u8
CCTV10,http://60.208.113.114:8001/newlive/live/hls/11/live.m3u8
CCTV10,http://125.210.152.19:9123/live/hzgq-cctv10gq-h264.m3u8
CCTV11,http://60.208.113.114:8001/newlive/live/hls/12/live.m3u8
CCTV11,http://218.13.170.98:9901/tsfile/live/0011_1.m3u8
CCTV11,http://125.210.152.19:9123/live/hzgq-cctv11gq-h264.m3u8
CCTV12,http://113.57.109.36:9901/tsfile/live/0012_1.m3u8
CCTV12,http://221.2.146.228:8888/newlive/live/hls/13/live.m3u8
CCTV12,http://60.208.113.114:8001/newlive/live/hls/13/live.m3u8
CCTV13,http://182.201.241.62/liveali-tpgq.cctv.cn/live/cctv13.m3u8
CCTV13,http://60.208.113.114:8001/newlive/live/hls/14/live.m3u8
CCTV13,http://222.189.51.62:8888/newlive/live/hls/13/live.m3u8
CCTV14,http://113.57.109.36:9901/tsfile/live/0014_1.m3u8
CCTV14,http://221.2.146.228:8888/newlive/live/hls/15/live.m3u8
CCTV14,http://60.208.113.114:8001/newlive/live/hls/15/live.m3u8
CCTV15,http://113.57.109.36:9901/tsfile/live/0015_1.m3u8
