港澳频道,#genre#
AMC电影台[720p],http://61.221.215.25:8800/hls/43/index.m3u8
三立戏剧[720p],http://61.221.215.25:8800/hls/41/index.m3u8
三立戏剧台[720p],http://61.221.215.25:8800/hls/41/index.m3u8
八大戏剧[720p],http://61.221.215.25:8800/hls/39/index.m3u8
公视戏剧[720p],http://37.27.111.214:8080/live/87/hls.m3u8
影剧[720p],http://37.27.111.214:8080/live/88/hls.m3u8
影视2[720p],http://37.27.111.214:8080/live/109/hls.m3u8
影视3[720p],http://37.27.111.214:8080/live/111/hls.m3u8
影视[720p],http://37.27.111.214:8080/live/108/hls.m3u8
靖天电影台[1080p],http://37.27.111.214:8080/live/18/hls.m3u8
靖洋戏剧台[1080p],http://37.27.111.214:8080/live/17/hls.m3u8
龙华戏剧[720p],http://37.27.111.214:8080/live/41/hls.m3u8
龙华电影台[720p],http://37.27.111.214:8080/live/19/hls.m3u8
﻿AMC电影台[720p],http://61.221.215.25:8800/hls/43/index.m3u8

BLOOMBERG[720p],http://37.27.111.214:8080/live/34/hls.m3u8
CMUSIC音乐台[720p],http://37.27.111.214:8080/live/72/hls.m3u8
CNA[1080p],https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CNA新闻[1080p],https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CinemaWorld[720p],http://37.27.111.214:8080/live/30/hls.m3u8
ELEVEN1[720p],rtmp://f13h.mine.nu/sat/tv731
ELEVEN2[720p],rtmp://f13h.mine.nu/sat/tv741
ELTV生活英语台[720p],http://37.27.111.214:8080/live/56/hls.m3u8
FESTIVAL[720p],http://37.27.111.214:8080/live/83/hls.m3u8
FOX新闻[720p],https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
HISTORY[720p],http://37.27.111.214:8080/live/27/hls.m3u8
KOREA[720p],http://37.27.111.214:8080/live/52/hls.m3u8
MCE[720p],http://37.27.111.214:8080/live/98/hls.m3u8
MTV[720p],http://37.27.111.214:8080/live/25/hls.m3u8
MoMo综合[720p],rtmp://f13h.mine.nu/sat/tv761
Nickelodeon[720p],http://37.27.111.214:8080/live/12/hls.m3u8
QA半岛新闻英语[720p],https://live-hls-web-aje.getaj.net/AJE/02.m3u8?zshijdp
RTHK33[720p],https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
TVB j2开码[720p],https://ha.jmied.com/aa/aa.flv?auth_key=1661958232-0-0-3d9174957759709f8b53448167c0b6f6
TVBSNEWS[720p],http://61.221.215.25:8800/hls/9/index.m3u8
TVBS[1080p],http://37.27.111.214:8080/live/23/hls.m3u8
TVB功夫台[720p],https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB娱乐新闻[720p],http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVB无线星河[720p],http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
USAMCWest[720p],http://doubleclicktv.live:80/70376812/52663544/295775
USStarMovies[1080p],http://doubleclicktv.live/70376812/52663544/276996
elta生活旅游[720p],http://37.27.111.214:8080/live/85/hls.m3u8
三立综合[720p],http://37.27.111.214:8080/live/31/hls.m3u8
东森新闻[720p],http://37.27.111.214:8080/live/20/hls.m3u8
东森购物[720p],http://37.27.111.214:8080/live/61/hls.m3u8
东森购物[720p],http://37.27.111.214:8080/live/66/hls.m3u8
东森超视[720p],rtmp://220.130.201.73/sat/tv331
东森超视[720p],rtmp://f13h.mine.nu/sat/tv331
中华小当家[720p],http://61.221.215.25:8800/hls/40/index.m3u8
中视[720p],rtmp://220.130.201.73/sat/tv091
中视[720p],rtmp://f13h.mine.nu/sat/tv091
中视经典[720p],http://37.27.111.214:8080/live/47/hls.m3u8
中视青采[720p],http://37.27.111.214:8080/live/48/hls.m3u8
互动英语[720p],http://37.27.111.214:8080/live/54/hls.m3u8
